element_id,row_type,parent_id,screen_id,screen,source_path,source_symbol_or_requirement,implementation_status,component_id,variant,states,light_dark_token_roles,layout_id,pattern_id,placement,interaction_contract,accessibility_contract,copy_key,english,romanian,spec_anchor,verification_scenario
C:S21-A06,source_action_group,,S21,Equipment in visit,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S21-A06,adopted/pending,C24,Add/view photos,Not assessed/no issue/issue; missing photo; multiple services; dirty/failed save; read-only history variant,color.photoMat;color.surface;color.textPrimary;color.textSecondary;color.outlineDecorative;color.selection;color.selectionOutline,L06,P14,"Photo/evidence group of S21; thumbnail opens viewer, labelled intake/selection actions adjacent.",Validate owned copy before Saved; new photo report inclusion Off.,Use C24 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s21_a06,Add/view photos,Adaugă/vizualizează fotografii,action-c-s21-a06,"T-C-S21-A06: invoke from S21; test success, cancellation, blocked state and retry against this exact effect."
C:S21-A07,source_action_group,,S21,Equipment in visit,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S21-A07,adopted/pending,C11,Existing corrective follow-up,Not assessed/no issue/issue; missing photo; multiple services; dirty/failed save; read-only history variant,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L06,P01,"Named relationship/result row in S21 body, after identity within its labelled section; trailing chevron only when navigable.","Inspect/link explicitly, no resolution or due-date mutation.",Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s21_a07,Existing corrective follow-up,Acțiune corectivă existentă,action-c-s21-a07,"T-C-S21-A07: invoke from S21; test success, cancellation, blocked state and retry against this exact effect."
C:S21-A08,source_action_group,,S21,Equipment in visit,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S21-A08,adopted/pending,C11,Equipment history / Master equipment,Not assessed/no issue/issue; missing photo; multiple services; dirty/failed save; read-only history variant,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L06,P01,"Named relationship/result row in S21 body, after identity within its labelled section; trailing chevron only when navigable.",Return path to active visit; master edits cannot alter snapshot silently.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s21_a08,Equipment history / Master equipment,Istoric echipament / Fișă echipament,action-c-s21-a08,"T-C-S21-A08: invoke from S21; test success, cancellation, blocked state and retry against this exact effect."
C:S21-A09,source_action_group,,S21,Equipment in visit,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S21-A09,adopted/pending,C07,Back to visit,Not assessed/no issue/issue; missing photo; multiple services; dirty/failed save; read-only history variant,color.action;color.focus;color.disabledText;color.surface,L06,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,"Checkpoint first, failed-save rescue if needed; no automatic cancellation.",Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s21_a09,Back to visit,Înapoi la vizită,action-c-s21-a09,"T-C-S21-A09: invoke from S21; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A01,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A01,adopted/pending (partial control exposed),C23,Work performed,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.surface;color.textPrimary;color.textSecondary;color.outlineControl;color.focus;color.errorInk,L06,P06,Named Work performed field/selector in S22 content order; error directly below; see individual field ledger.,Public work buffer; preserve current explicit Save until approved autosave reconciliation; not fulfillment.,Use C23 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a01,Work performed,Lucrare efectuată,action-c-s22-a01,"T-C-S22-A01: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A02,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A02,adopted/pending (partial control exposed),C13,OK / Issue found / Not applicable / Not checked,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L06,P04,Labelled choice/selection group named OK / Issue found / Not applicable / Not checked in S22; option toggles retain group/parent context.,B-014 retains separate drafts; active answer only validates/report; Issue description inline under B-009.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a02,OK / Issue found / Not applicable / Not checked,În regulă / Problemă constatată / Nu se aplică / Neverificat,action-c-s22-a02,"T-C-S22-A02: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A03,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A03,adopted/pending (partial control exposed),C08,Text / Number value,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.surface;color.textPrimary;color.textSecondary;color.outlineControl;color.focus;color.errorInk;color.disabledContainer;color.disabledText,L06,P04,Named Text / Number value field/selector in S22 content order; error directly below; see individual field ledger.,Finite signed decimal with captured unit or text; malformed draft not coerced to zero.,Use C08 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a03,Text / Number value,Text / Valoare numerică,action-c-s22-a03,"T-C-S22-A03: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A04,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A04,adopted/pending (partial control exposed),C13,Mark not applicable / Enter value instead,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L06,P04,Labelled choice/selection group named Mark not applicable / Enter value instead in S22; option toggles retain group/parent context.,B-014 nondestructive switch with retained value/reason; no canned NA reason.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a04,Mark not applicable / Enter value instead,Marchează Nu se aplică / Introdu valoarea,action-c-s22-a04,"T-C-S22-A04: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A05,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A05,adopted/pending,C11,View/edit linked finding,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L06,P01,"Named relationship/result row in S22 body, after identity within its labelled section; trailing chevron only when navigable.",Open current linked finding detail; active Issue needs actual description/disposition.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a05,View/edit linked finding,Vizualizează/editează constatarea,action-c-s22-a05,"T-C-S22-A05: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A06,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A06,implemented,C05,Mark checklist reviewed,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L06,P01,Primary footer or current review/section commit named Mark checklist reviewed; conditional variants never shown simultaneously as competing primary actions.,All required active answers valid plus explicit review; later edits invalidate Reviewed; not a safety pass.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a06,Mark checklist reviewed,Marchează lista ca revizuită,action-c-s22-a06,"T-C-S22-A06: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A07,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A07,adopted/pending,C09,Choose/change checklist,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.surface;color.textPrimary;color.textSecondary;color.icon;color.outlineDecorative;color.outlineControl;color.focus;color.errorInk,L06,P01,Named Choose/change checklist field/selector in S22 content order; error directly below; see individual field ledger.,One-off before answers only; no guessed migration of existing answers.,Use C09 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a07,Choose/change checklist,Alege/schimbă lista,action-c-s22-a07,"T-C-S22-A07: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A08,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A08,adopted/pending,C06,Keep finding / Remove draft finding,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L06,P10,"Record More → named lifecycle/destructive action; opens explicit review. On dedicated review, named confirmation is footer last.",Explicit independent finding consequences only; do not destroy B-014 response draft during ordinary switching.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a08,Keep finding / Remove draft finding,Păstrează constatarea / Elimină constatarea din ciornă,action-c-s22-a08,"T-C-S22-A08: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S22-A09,source_action_group,,S22,Work item and checklist,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S22-A09,implemented,C07,Back,Not checked; OK; Issue found; NA; text/number value; invalid reading; reviewed/in-progress; save failed,color.action;color.focus;color.disabledText;color.surface,L06,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Checkpoint then original machine/visit; no automatic completion.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s22_a09,Back,Înapoi,action-c-s22-a09,"T-C-S22-A09: invoke from S22; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A01,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A01,adopted/pending,C13,Disposition,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L05,P04,Labelled choice/selection group named Disposition in S23; option toggles retain group/parent context.,Resolved during visit / Corrective follow-up needed / No further action; applicable explanation required.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a01,Disposition,Dispoziție,action-c-s23-a01,"T-C-S23-A01: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A02,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A02,adopted/pending,C07,New corrective follow-up,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.action;color.focus;color.disabledText;color.surface,L05,P01,Explicit labelled secondary action in the matching S23 section; infrequent management variants in named More menu per screen composition.,"Stage child proposal with source finding, not a live global task before parent commit.",Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a02,New corrective follow-up,Acțiune corectivă nouă,action-c-s23-a02,"T-C-S23-A02: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A03,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A03,adopted/pending,C19,Link existing corrective follow-up,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.surfaceRaised;color.textPrimary;color.textSecondary;color.action;color.selection;color.outlineControl;color.focus,L05,P04,Explicit labelled secondary action in the matching S23 section; infrequent management variants in named More menu per screen composition.,Same machine open task; linkage changes no task state/date.,Use C19 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a03,Link existing corrective follow-up,Asociază o acțiune corectivă existentă,action-c-s23-a03,"T-C-S23-A03: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A04,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A04,adopted/pending,C24,Select/add photographs,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.photoMat;color.surface;color.textPrimary;color.textSecondary;color.outlineDecorative;color.selection;color.selectionOutline,L05,P14,"Photo/evidence group of S23; thumbnail opens viewer, labelled intake/selection actions adjacent.",Link saved same-context photos; customer report inclusion remains a separate choice.,Use C24 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a04,Select/add photographs,Selectează/adaugă fotografii,action-c-s23-a04,"T-C-S23-A04: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A05,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A05,adopted/pending,C05,Save finding,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L05,P01,Primary footer or current review/section commit named Save finding; conditional variants never shown simultaneously as competing primary actions.,"Validate description/disposition and save to current draft, not independently finalize task effects.",Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a05,Save finding,Salvează constatarea,action-c-s23-a05,"T-C-S23-A05: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A06,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A06,adopted/pending,C06,Remove finding,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L05,P10,"Record More → named lifecycle/destructive action; opens explicit review. On dedicated review, named confirmation is footer last.",Confirm draft-only consequences and linked answer; never auto-cancel an existing live task.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a06,Remove finding,Elimină constatarea,action-c-s23-a06,"T-C-S23-A06: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S23-A07,source_action_group,,S23,Finding,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S23-A07,adopted/pending,C07,Cancel / Back,New/general; inline checklist issue; unfinished; resolved in visit; follow-up required; correction mode,color.action;color.focus;color.disabledText;color.surface,L05,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,"Discard uncommitted editor changes, retain saved finding.",Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s23_a07,Cancel / Back,Renunță / Înapoi,action-c-s23-a07,"T-C-S23-A07: invoke from S23; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A01,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A01,adopted/pending (partial control exposed),C11,Edit date/identification/machine/work,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L07,P01,"Named relationship/result row in S24 body, after identity within its labelled section; trailing chevron only when navigable.",Open actual source field; return review; changed answers may require re-review.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a01,Edit date/identification/machine/work,Editează data/identificarea/echipamentul/lucrarea,action-c-s24-a01,"T-C-S24-A01: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A02,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A02,implemented,C13,Outcome per line,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L07,P04,Labelled choice/selection group named Outcome per line in S24; option toggles retain group/parent context.,Performed/Partly/Not performed plus required notes; never auto-check obligation fulfillment.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a02,Outcome per line,Rezultatul lucrării,action-c-s24-a02,"T-C-S24-A02: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A03,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A03,adopted/pending (partial control exposed),C27,Fulfills current obligation / History only,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.surface;color.textPrimary;color.textSecondary;color.warningInk;color.warningContainer;color.errorInk;color.successInk;color.action,L07,P15,Explicit labelled secondary action in the matching S24 section; infrequent management variants in named More menu per screen composition.,"Only current eligible obligation; explicit choice shows exact date effect, blocked reason otherwise.",Use C27 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a03,Fulfills current obligation / History only,Îndeplinește obligația curentă / Doar istoric,action-c-s24-a03,"T-C-S24-A03: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A04,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A04,adopted/pending (partial control exposed),C30,Next due date / Use calculated date,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.surfaceRaised;color.textPrimary;color.textSecondary;color.action;color.selection;color.outlineControl;color.errorInk;color.focus,L07,P13,Named Next due date / Use calculated date field/selector in S24 content order; error directly below; see individual field ledger.,"Actual date+captured interval, explicit override reason; unrelated plans untouched.",Use C30 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a04,Next due date / Use calculated date,Următoarea scadență / Folosește data calculată,action-c-s24-a04,"T-C-S24-A04: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A05,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A05,adopted/pending,C11,Corrective task proposal,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L07,P01,"Named relationship/result row in S24 body, after identity within its labelled section; trailing chevron only when navigable.",Review valid proposed/link existing task; no cross-machine merge or premature task creation.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a05,Corrective task proposal,Propunere acțiune corectivă,action-c-s24-a05,"T-C-S24-A05: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A06,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A06,adopted/pending,C13,Existing linked follow-up: Keep open / Resolve,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L07,P04,Labelled choice/selection group named Existing linked follow-up: Keep open / Resolve in S24; option toggles retain group/parent context.,Default keep; require dated outcome; commit effect only with finalization.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a06,Existing linked follow-up: Keep open / Resolve,Acțiune asociată: Lasă deschisă / Rezolvă,action-c-s24-a06,"T-C-S24-A06: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A07,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A07,adopted/pending,C24,Select report photos,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.photoMat;color.surface;color.textPrimary;color.textSecondary;color.outlineDecorative;color.selection;color.selectionOutline,L07,P14,"Photo/evidence group of S24; thumbnail opens viewer, labelled intake/selection actions adjacent.",Only saved public-eligible photos; defaults Off; private notes cannot be selected.,Use C24 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a07,Select report photos,Selectează fotografiile raportului,action-c-s24-a07,"T-C-S24-A07: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A08,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A08,adopted/pending,C31,Draft report preview,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.photoMat;color.surface;color.textPrimary;color.textSecondary;color.warningInk;color.errorInk;color.action,L07,P01,Explicit labelled secondary action in the matching S24 section; infrequent management variants in named More menu per screen composition.,Public snapshot only; no external Share/Save action in draft.,Use C31 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a08,Draft report preview,Previzualizează ciorna raportului,action-c-s24-a08,"T-C-S24-A08: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A09,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A09,implemented,C11,Business profile,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L07,P01,"Named relationship/result row in S24 body, after identity within its labelled section; trailing chevron only when navigable.","Get required business/technician name, then explicitly refresh captured identity; no automatic historical rewrite.",Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a09,Business profile,Datele firmei,action-c-s24-a09,"T-C-S24-A09: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A10,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A10,implemented,C05,Finalize record,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L07,P01,Primary footer or current review/section commit named Finalize record; conditional variants never shown simultaneously as competing primary actions.,Atomic record+selected eligible obligation effects/tasks; exactly-once retry; PDF failure separate.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a10,Finalize record,Finalizează înregistrarea,action-c-s24-a10,"T-C-S24-A10: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S24-A11,source_action_group,,S24,Review completion,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S24-A11,implemented,C07,Back to working visit,Outcome missing; partial/unperformed; eligible unchecked/checked; stale obligation; identity missing; finalizing; failure,color.action;color.focus;color.disabledText;color.surface,L07,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,"Review choices remain saved draft, not business completion.",Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s24_a11,Back to working visit,Înapoi la vizita în lucru,action-c-s24-a11,"T-C-S24-A11: invoke from S24; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A01,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A01,implemented,C05,Generate customer PDF / View report,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L08,P01,Primary footer or current review/section commit named Generate customer PDF / View report; conditional variants never shown simultaneously as competing primary actions.,From fixed public snapshot; failed PDF leaves final service record and schedules committed.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a01,Generate customer PDF / View report,Generează PDF pentru client / Vezi raportul,action-c-s25-a01,"T-C-S25-A01: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A02,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A02,implemented,C26,Record versions / Report versions,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.textPrimary;color.textSecondary;color.historyContainer;color.historyInk;color.errorContainer;color.errorInk;color.outlineDecorative,L08,P16,"Named relationship/result row in S25 body, after identity within its labelled section; trailing chevron only when navigable.","Open exact immutable version, never promote it to current by viewing.",Use C26 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a02,Record versions / Report versions,Versiuni înregistrare / Versiuni raport,action-c-s25-a02,"T-C-S25-A02: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A03,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A03,implemented,C07,Correct record / Resume correction,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.action;color.focus;color.disabledText;color.surface,L08,P01,Explicit labelled secondary action in the matching S25 section; infrequent management variants in named More menu per screen composition.,New/existing durable correction draft; original stays current until commit.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a03,Correct record / Resume correction,Corectează înregistrarea / Reia corecția,action-c-s25-a03,"T-C-S25-A03: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A04,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A04,implemented,C06,Void this record,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L08,P10,"Record More → named lifecycle/destructive action; opens explicit review. On dedicated review, named confirmation is footer last.",Reason and explicit downstream reconciliation; retain evidence and old PDF bytes.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a04,Void this record,Invalidează înregistrarea,action-c-s25-a04,"T-C-S25-A04: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A05,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A05,adopted/pending,C11,Follow-up / Plan / Equipment / Original site/customer,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L08,P01,"Named relationship/result row in S25 body, after identity within its labelled section; trailing chevron only when navigable.",Stable linked entities; current changes clearly distinguished from captured identity.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a05,Follow-up / Plan / Equipment / Original site/customer,Acțiune / Plan / Echipament / Locație-client original,action-c-s25-a05,"T-C-S25-A05: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A06,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A06,adopted/pending,C07,Create return visit,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.action;color.focus;color.disabledText;color.surface,L08,P01,Explicit labelled secondary action in the matching S25 section; infrequent management variants in named More menu per screen composition.,Only still-open eligible work; do not copy finished outcomes/answers/consumed obligations.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a06,Create return visit,Creează vizită de revenire,action-c-s25-a06,"T-C-S25-A06: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
C:S25-A07,source_action_group,,S25,Final service record,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:S25-A07,adopted/pending,C07,Add contact/sharing note,Current/superseded/void; PDF absent/generating/failed/missing/ready; correction pending,color.action;color.focus;color.disabledText;color.surface,L08,P01,Explicit labelled secondary action in the matching S25 section; infrequent management variants in named More menu per screen composition.,Manual fact attached to exact record/report version; no automatic Delivered status.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_s25_a07,Add contact/sharing note,Adaugă notă de contactare/transmitere,action-c-s25-a07,"T-C-S25-A07: invoke from S25; test success, cancellation, blocked state and retry against this exact effect."
